mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;3.13;4.4;1;3.13;4.4;1;0;0;0;0;0;0;0;0;0;0;32.69;1;15.97;1;194
1;21.63;47.77;1;21.63;47.77;1;0;0;0;0;0;0;0;0;0;0;145.3;1;69.48;1;195
1;70.86;48.75;1;70.86;48.75;1;29.04;27.33;74.67;77.97;1;0;0;0;0;0;0;0;277.14;1;196
1;14.68;35.8;1;14.68;35.8;1;45.36;85.8;63.15;108.93;1;0;0;0;0;0;0;0;169.63;1;197
1;6.15;5.45;1;6.15;5.45;1;0;0;0;0;0;0;0;0;0;0;39.19;1;18.34;1;198
6;10.56;21.31;1;10.56;21.31;1;24.93;11.62;11.72;22.3;1;0;0;0;0;0;63.21;1;31.06;1;199
1;14.23;10.06;1;14.23;10.06;1;35.45;42.54;15.64;11.82;1;0;0;0;0;0;91.26;1;43.13;1;200
1;28.16;19.41;1;28.16;19.41;1;26.67;65.19;46.55;24.8;1;0;0;0;0;0;181.88;1;84.53;1;201
1;69.31;63.16;1;69.31;63.16;1;46.47;21.74;101.62;117.66;1;0;0;0;0;0;0;0;274.24;1;202
2;9.19;27.27;1;9.19;27.27;1;16.4;19.99;10.38;33.46;1;0;0;0;0;0;107.41;1;51.36;1;203
1;77.17;70.94;1;77.17;70.94;1;45.95;21.5;94.44;111.61;1;45.86;25;76.67;92.42;1;647.72;1;290.74;1;204
3;11.19;26.61;1;11.19;26.61;1;10.31;27.19;9.34;14.59;1;0;0;0;0;0;71.75;1;33.4;1;205
2;2.86;24.42;1;2.86;24.42;1;18.68;50.01;12.18;6.1;1;0;0;0;0;0;73.1;1;33.95;1;206
2;44.43;113.79;1;44.43;113.79;1;19.93;20.65;23.31;111.4;1;19.61;19.91;24.61;107.08;1;561.62;1;271.89;1;207
1;23.73;14.01;1;23.73;14.01;1;21.91;59.8;19.24;24.35;1;0;0;0;0;0;156.64;1;74.03;1;208
1;22.57;51.88;1;22.57;51.88;1;20.04;31.54;13.64;57.78;1;0;0;0;0;0;273.79;1;130.88;1;209
1;96.28;95.13;1;96.28;95.13;1;0;0;0;0;0;47.22;19.26;94.67;120.2;1;0;0;392.04;1;210
1;29.15;33.48;1;29.15;33.48;1;49.15;182.27;141.33;40.79;1;0;0;0;0;0;396.36;1;184.82;1;211
1;10.23;7.79;1;10.23;7.79;1;0;0;0;0;0;0;0;0;0;0;64.81;1;32.14;1;212
1;18.63;20.19;1;18.63;20.19;1;18.39;82.22;15.13;6.7;1;0;0;0;0;0;117.58;1;56.63;1;213
1;4.12;16.41;1;4.12;16.41;1;24.23;16.81;5.5;5.21;1;0;0;0;0;0;42.63;1;19.96;1;214
1;69.19;44.38;1;69.19;44.38;1;46.48;34.53;133.72;111.45;1;46.25;147.18;149.16;106.04;1;0;0;217.79;1;215
6;14.25;14.64;1;14.25;14.64;1;0;0;0;0;0;0;0;0;0;0;86.87;1;41.32;1;216
1;20.83;14.16;1;20.83;14.16;1;15.08;79.95;18.52;17.13;1;0;0;0;0;0;132.51;1;61.39;1;217
